user_id	level	avgtime	cishu	timecha	type1num	type2num	type1tuinum	type2tuinum
11879081	5	10.00 	36	574	1	0	0	0
11913073	1	10.00 	51	571	3	0	0	0
11922264	2	30.00 	33	570	3	0	0	0
11963949	0	16.67 	3	566	1	0	0	0
12061328	3	120.00 	136	559	1	1	0	0
12230329	5	77.50 	138	547	1	1	0	0
12337394	4	38.57 	74	543	1	0	0	0
12424635	5	79.00 	67	539	9	0	5	0
12452607	1	30.00 	38	538	4	1	1	0
12478311	5	119.17 	64	536	4	7	0	0
12490533	4	55.00 	99	535	5	3	2	1
13653576	1	10.00 	100	480	2	1	0	0
13669354	4	86.25 	89	479	3	0	0	0
13833770	4	40.00 	62	472	2	0	0	0
13913073	4	12.50 	76	468	1	0	0	0
14171604	6	107.50 	295	448	1	1	0	0
14765864	6	98.57 	329	403	1	1	0	0
14797315	0	20.00 	4	402	2	6	0	0
14818126	4	6.25 	57	401	2	0	0	0
14999881	3	33.33 	69	394	1	0	0	0
15673904	4	15.00 	45	376	1	0	0	0
1572212	4	97.50 	36	1902	3	0	0	0
15799589	4	95.83 	27	374	2	1	0	0
16173725	4	49.00 	96	367	2	2	0	0
16214640	5	42.00 	201	367	2	1	0	0
16583988	4	110.00 	56	360	1	0	0	0
16681526	5	80.83 	89	359	1	2	0	0
16871765	5	20.00 	72	356	1	1	0	0
17190491	3	73.57 	69	352	4	2	1	1
17475076	4	11.67 	59	349	1	0	0	0
19188566	3	70.83 	8	332	2	0	0	0
19658910	4	102.50 	73	321	1	0	0	0
20757564	4	81.67 	55	292	2	0	0	0
21059649	3	45.00 	5	286	4	0	0	0
21261319	3	91.00 	7	283	1	0	0	0
21378254	4	109.17 	107	281	1	1	0	0
21432602	4	5.00 	114	280	1	0	0	0
2168334	2	38.57 	7	1534	6	0	1	0
21921342	4	16.67 	92	266	1	0	0	0
22158327	3	18.33 	59	258	1	0	0	0
2220484	4	82.50 	124	1510	1	1	0	0
2227631	2	81.25 	4	1506	18	6	9	0
22533296	4	13.33 	110	244	1	0	0	0
22641719	6	84.17 	121	240	2	2	0	0
22830721	4	26.25 	19	234	3	0	1	0
23097883	6	32.50 	133	224	4	2	0	0
2312366	5	65.00 	50	1470	2	0	0	0
2330601	1	21.25 	4	1463	6	1	0	0
23508531	3	82.86 	46	209	5	0	0	0
